individual,group,accuracy
0.006206800395536709,2.3021614270048473e-06,[0.39878609 0.33763889 0.41175474]
0.006206800395536709,2.3021614270048473e-06,[0.39875389 0.33791858 0.41213354]
0.006206800395536709,2.3021614270048473e-06,[0.39908182 0.33847865 0.41247246]
0.006206800395536709,2.3021614270048473e-06,[0.39908182 0.33847865 0.41247246]
0.006206800395536709,2.3021614270048473e-06,[0.39904949 0.33875904 0.41285181]
0.006206800395536709,2.3021614270048473e-06,[0.39904949 0.33875904 0.41285181]
0.006206800395536709,2.3021614270048473e-06,[0.39940974 0.33903967 0.41281139]
0.006206800395536709,2.3021614270048473e-06,[0.39940974 0.33903967 0.41281139]
0.006206800395536709,2.3021614270048473e-06,[0.39940974 0.33903967 0.41281139]
0.006206800395536709,2.3021614270048473e-06,[0.39937725 0.33932052 0.41319091]
0.006206800395536709,2.3021614270048473e-06,[0.39973766 0.33960162 0.41315031]
0.006206800395536709,2.3021614270048473e-06,[0.40045954 0.34016451 0.41306924]
0.006206800395536709,2.3021614270048473e-06,[0.40045954 0.34016451 0.41306924]
0.0061998683541857015,2.3503648635391976e-06,[0.40045954 0.34016451 0.41306924]
0.0061998683541857015,2.3503648635391976e-06,[0.40045954 0.34016451 0.41306924]
0.0061998683541857015,2.3503648635391976e-06,[0.40042651 0.3404463  0.41344851]
0.006199138987496893,2.318194227697313e-06,[0.40042651 0.3404463  0.41344851]
0.006199138987496893,2.318194227697313e-06,[0.40042651 0.3404463  0.41344851]
0.006199138987496893,2.318194227697313e-06,[0.40042651 0.3404463  0.41344851]
0.006199138987496893,2.318194227697313e-06,[0.40042651 0.3404463  0.41344851]
0.006199138987496893,2.318194227697313e-06,[0.40078779 0.34072834 0.41340782]
0.006199138987496893,2.318194227697313e-06,[0.40078779 0.34072834 0.41340782]
0.006199138987496893,2.318194227697313e-06,[0.40114943 0.34101061 0.41336717]
0.006199138987496893,2.318194227697313e-06,[0.40114943 0.34101061 0.41336717]
0.009909676462190603,7.350547027484907e-06,[0.40151142 0.34129312 0.41332657]
0.006199138987496893,2.318194227697313e-06,[0.40111603 0.34129312 0.4137464 ]
0.006199138987496893,2.318194227697313e-06,[0.40111603 0.34129312 0.4137464 ]
0.006199138987496893,2.318194227697313e-06,[0.40111603 0.34129312 0.4137464 ]
0.006199138987496893,2.318194227697313e-06,[0.40147783 0.34128978 0.41370558]
0.006199138987496893,2.318194227697313e-06,[0.40147783 0.34128978 0.41370558]
0.0067170238892965825,2.261130012939279e-06,[0.40183999 0.34157241 0.41366481]
0.006707738326741068,2.205788506368676e-06,[0.4022025  0.34156896 0.41362407]
0.006707738326741068,2.205788506368676e-06,[0.40253123 0.34184813 0.41396214]
0.006629289387951998,2.094987517678558e-06,[0.40325765 0.341841   0.41388045]
0.006629289387951998,2.094987517678558e-06,[0.40325765 0.341841   0.41388045]
0.006629289387951998,2.094987517678558e-06,[0.40325765 0.341841   0.41388045]
0.006629289387951998,2.094987517678558e-06,[0.40325765 0.341841   0.41388045]
0.006629289387951998,2.094987517678558e-06,[0.40325765 0.341841   0.41388045]
0.006629289387951998,2.094987517678558e-06,[0.40325765 0.341841   0.41388045]
0.006629289387951998,2.094987517678558e-06,[0.40318869 0.34240648 0.41463827]
0.006629289387951998,2.094987517678558e-06,[0.40315426 0.34268957 0.41501776]
0.006629289387951998,2.094987517678558e-06,[0.40351742 0.3429729  0.41497634]
0.0067561930936546185,1.851627110844744e-06,[0.40341375 0.34382431 0.41611647]
0.0067561930936546185,1.851627110844744e-06,[0.40413997 0.34410407 0.41603247]
0.0067561930936546185,1.851627110844744e-06,[0.40486762 0.34467311 0.41594864]
0.0067561930936546185,1.851627110844744e-06,[0.40486762 0.34467311 0.41594864]
0.0067561930936546185,1.851627110844744e-06,[0.40523198 0.34495798 0.41590679]
0.0067561930936546185,1.851627110844744e-06,[0.40556104 0.3452381  0.41624451]
0.0067561930936546185,1.851627110844744e-06,[0.40556104 0.3452381  0.41624451]
0.0067561930936546185,1.851627110844744e-06,[0.40556104 0.3452381  0.41624451]
0.0067561930936546185,1.851627110844744e-06,[0.40552541 0.34552333 0.41662443]
0.0067561930936546185,1.851627110844744e-06,[0.40552541 0.34552333 0.41662443]
0.0067561930936546185,1.851627110844744e-06,[0.40552541 0.34552333 0.41662443]
0.0067561930936546185,1.851627110844744e-06,[0.4058543  0.34580356 0.41696232]
0.0067561930936546185,1.851627110844744e-06,[0.4058543  0.34580356 0.41696232]
0.0067561930936546185,1.851627110844744e-06,[0.40621915 0.34579832 0.41691996]
0.0067561930936546185,1.851627110844744e-06,[0.40621915 0.34579832 0.41691996]
0.0067561930936546185,1.851627110844744e-06,[0.40621915 0.34579832 0.41691996]
0.0067561930936546185,1.851627110844744e-06,[0.40621915 0.34579832 0.41691996]
0.0067561930936546185,1.851627110844744e-06,[0.40621915 0.34579832 0.41691996]
0.0067561930936546185,1.851627110844744e-06,[0.40621915 0.34579832 0.41691996]
0.0067561930936546185,1.851627110844744e-06,[0.40621915 0.34579832 0.41691996]
0.0067561930936546185,1.851627110844744e-06,[0.40658436 0.34608379 0.41687764]
0.0067561930936546185,1.851627110844744e-06,[0.40658436 0.34608379 0.41687764]
0.0067561930936546185,1.851627110844744e-06,[0.40691358 0.34636402 0.41721519]
0.0067561930936546185,1.851627110844744e-06,[0.40691358 0.34636402 0.41721519]
0.0067561930936546185,1.851627110844744e-06,[0.40691358 0.34636402 0.41721519]
0.0067561930936546185,1.851627110844744e-06,[0.40691358 0.34636402 0.41721519]
0.0067561930936546185,1.851627110844744e-06,[0.40727931 0.34664985 0.41717274]
0.0067561930936546185,1.851627110844744e-06,[0.40727931 0.34664985 0.41717274]
0.0067561930936546185,1.851627110844744e-06,[0.40727931 0.34664985 0.41717274]
0.0067561930936546185,1.851627110844744e-06,[0.40727931 0.34664985 0.41717274]
0.0067561930936546185,1.851627110844744e-06,[0.4072428  0.34693591 0.41755274]
0.0067561930936546185,1.851627110844744e-06,[0.4072428  0.34693591 0.41755274]
0.0067561930936546185,1.851627110844744e-06,[0.4072428  0.34693591 0.41755274]
0.0067561930936546185,1.851627110844744e-06,[0.4072428  0.34693591 0.41755274]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.011387947069641718,8.264039918947079e-06,[0.40757202 0.34750877 0.4178903 ]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.008309871940643119,7.333097042734678e-06,[0.40793808 0.34750281 0.4178475 ]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
0.0067561930936546185,1.851627110844744e-06,[0.40720632 0.34722222 0.41793313]
