individual,group,accuracy
0.31401173129363263,3.947293104608731e-05,0.86
0.31401173129363263,3.947293104608731e-05,0.861
0.31401173129363263,3.947293104608731e-05,0.863
0.31401173129363263,3.947293104608731e-05,0.864
0.31401173129363263,3.947293104608731e-05,0.866
0.31378925019290616,3.605761057868495e-05,0.867
0.31378925019290616,3.605761057868495e-05,0.868
0.31378925019290616,3.605761057868495e-05,0.868
0.31378925019290616,3.605761057868495e-05,0.868
0.31378925019290616,3.605761057868495e-05,0.869
0.31378925019290616,3.605761057868495e-05,0.87
0.31378925019290616,3.605761057868495e-05,0.871
0.3090848441518232,6.764512594608374e-05,0.871
0.3090848441518232,6.764512594608374e-05,0.872
0.3090848441518232,6.764512594608374e-05,0.873
0.3090848441518232,6.764512594608374e-05,0.873
0.3090848441518232,6.764512594608374e-05,0.873
0.3090848441518232,6.764512594608374e-05,0.873
0.3090848441518232,6.764512594608374e-05,0.873
0.3090848441518232,6.764512594608374e-05,0.874
0.3093303956681146,6.800877243671796e-05,0.874
0.3087236730022666,8.062877237440218e-05,0.874
0.3087236730022666,8.062877237440218e-05,0.874
0.3087236730022666,8.062877237440218e-05,0.874
0.3087236730022666,8.062877237440218e-05,0.874
0.3087236730022666,8.062877237440218e-05,0.875
0.30862180985189747,8.109952948682585e-05,0.876
0.30862180985189747,8.109952948682585e-05,0.876
0.3028531359805394,0.00012858886312292617,0.878
0.3028531359805394,0.00012858886312292617,0.878
0.3028531359805394,0.00012858886312292617,0.88
0.30274956070413833,0.0001291027171097051,0.88
0.30274956070413833,0.0001291027171097051,0.88
0.30274956070413833,0.0001291027171097051,0.881
0.30274956070413833,0.0001291027171097051,0.882
0.30274956070413833,0.0001291027171097051,0.882
0.30274956070413833,0.0001291027171097051,0.882
0.3003870322283066,0.0001669578655458757,0.883
0.3003870322283066,0.0001669578655458757,0.883
0.3003870322283066,0.0001669578655458757,0.883
0.2998764822956114,0.00016585488976302845,0.883
0.2998764822956114,0.00016585488976302845,0.885
0.2998764822956114,0.00016585488976302845,0.885
0.2998764822956114,0.00016585488976302845,0.885
0.2998764822956114,0.00016585488976302845,0.885
0.2998764822956114,0.00016585488976302845,0.885
0.2998764822956114,0.00016585488976302845,0.886
0.2998764822956114,0.00016585488976302845,0.886
0.2998764822956114,0.00016585488976302845,0.886
0.2998764822956114,0.00016585488976302845,0.886
0.2998764822956114,0.00016585488976302845,0.886
0.2998764822956114,0.00016585488976302845,0.886
0.2998764822956114,0.00016585488976302845,0.886
0.2998764822956114,0.00016585488976302845,0.887
0.2998764822956114,0.00016585488976302845,0.887
0.2998764822956114,0.00016585488976302845,0.888
0.2998764822956114,0.00016585488976302845,0.89
0.2998764822956114,0.00016585488976302845,0.89
0.2998764822956114,0.00016585488976302845,0.89
0.2998764822956114,0.00016585488976302845,0.891
0.2998764822956114,0.00016585488976302845,0.892
0.2988484293637034,0.0001890721564303823,0.893
0.2988484293637034,0.0001890721564303823,0.893
0.2988484293637034,0.0001890721564303823,0.893
0.2988484293637034,0.0001890721564303823,0.894
0.298795735971258,0.00018960272910845455,0.894
0.2920244606446963,0.0002187536137354513,0.895
0.29285681605251374,0.0002114312350381231,0.896
0.29285681605251374,0.0002114312350381231,0.897
0.29285681605251374,0.0002114312350381231,0.897
0.29285681605251374,0.0002114312350381231,0.898
0.29285681605251374,0.0002114312350381231,0.898
0.29285681605251374,0.0002114312350381231,0.898
0.29285681605251374,0.0002114312350381231,0.9
0.29285681605251374,0.0002114312350381231,0.9
0.29285681605251374,0.0002114312350381231,0.901
0.29285681605251374,0.0002114312350381231,0.901
0.29285681605251374,0.0002114312350381231,0.901
0.29285681605251374,0.0002114312350381231,0.901
0.29285681605251374,0.0002114312350381231,0.903
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.904
0.29285681605251374,0.0002114312350381231,0.906
0.29285681605251374,0.0002114312350381231,0.906
0.29285681605251374,0.0002114312350381231,0.908
0.29285681605251374,0.0002114312350381231,0.91
0.29285681605251374,0.0002114312350381231,0.91
0.29285681605251374,0.0002114312350381231,0.911
0.29285681605251374,0.0002114312350381231,0.911
0.29285681605251374,0.0002114312350381231,0.911
0.29285681605251374,0.0002114312350381231,0.911
0.29285681605251374,0.0002114312350381231,0.911
0.29285681605251374,0.0002114312350381231,0.912
0.29285681605251374,0.0002114312350381231,0.913
0.29285681605251374,0.0002114312350381231,0.915
0.29285681605251374,0.0002114312350381231,0.915
0.29285681605251374,0.0002114312350381231,0.915
0.29285681605251374,0.0002114312350381231,0.917
0.29285681605251374,0.0002114312350381231,0.917
0.29285681605251374,0.0002114312350381231,0.918
0.29285681605251374,0.0002114312350381231,0.919
0.29285681605251374,0.0002114312350381231,0.92
0.29285681605251374,0.0002114312350381231,0.921
