calibrated_prediction,origin_prediction,actual
3.1142857142857143,3.1142857142857143,3.15
3.6,3.6,3.5
3.85,3.85,3.85
3.85,3.85,3.85
-0.0920918367346939,2.1,0.0
3.85,3.85,3.85
3.85,3.85,3.85
3.85,3.85,3.85
3.85,3.85,3.85
3.85,3.85,3.85
3.757908163265306,3.3285714285714287,3.85
3.8,3.8,3.85
3.1142857142857143,3.1142857142857143,3.15
3.85,3.85,3.85
3.6,3.6,3.5
3.85,3.85,3.85
3.85,3.85,3.85
3.0285714285714285,3.0285714285714285,2.85
